Nom,Symbole,Nombre de particules,Groupe,Nombre de trous
Hydrogène,H,1,1,0
Hélium,He,4,18,0
Lithium,Li,7,1,1
Béryllium,Be,9,2,2
Bore,B,11,13,3
Carbone,C,12,14,4
Azote,N,14,15,3
Oxygène,O,16,16,2
Fluor,F,19,17,1
Néon,Ne,20,18,0
Sodium,Na,23,1,1
Magnésium,Mg,24,2,2
Aluminium,Al,27,13,3
Silicium,Si,28,14,4
Phosphore,P,31,15,3
Soufre,S,32,16,2
Chlore,Cl,35,17,1
Argon,Ar,40,18,0
Potassium,K,39,1,1
Calcium,Ca,40,2,2
Scandium,Sc,45,3,3
Titane,Ti,48,4,4
Vanadium,V,51,5,5
Chrome,Cr,52,6,6
Manganèse,Mn,55,7,5
Fer,Fe,56,8,4
Cobalt,Co,59,9,3
Nickel,Ni,58,10,2
Cuivre,Cu,63,11,1
Zinc,Zn,65,12,0
Gallium,Ga,70,13,3
Germanium,Ge,73,14,4
Arsenic,As,75,15,3
Sélénium,Se,78,16,2
Brome,Br,80,17,1
Krypton,Kr,84,18,0
Rubidium,Rb,85,1,1
Strontium,Sr,88,2,2
Yttrium,Y,89,3,3
Zirconium,Zr,91,4,4
Niobium,Nb,92,5,5
Molybdène,Mo,96,6,6
Technétium,Tc,98,7,5
Ruthénium,Ru,101,8,4
Rhodium,Rh,103,9,3
Palladium,Pd,106,10,2
Argent,Ag,108,11,1
Cadmium,Cd,112,12,0
Indium,In,115,13,3
Étain,Sn,119,14,4
Antimoine,Sb,122,15,3
Tellure,Te,128,16,2
Iode,I,127,17,1
Xénon,Xe,131,18,0
Césium,Cs,133,1,1
Baryum,Ba,138,2,2
Lanthane,La,138,3,3
Cérium,Ce,140,4,4
Praséodyme,Pr,141,3,3
Néodyme,Nd,144,3,3
Prométhium,Pm,145,3,3
Samarium,Sm,150,3,3
Europium,Eu,152,3,3
Gadolinium,Gd,157,3,3
Terbium,Tb,159,3,3
Dysprosium,Dy,162,3,3
Holmium,Ho,164,3,3
Erbium,Er,167,3,3
Thulium,Tm,169,3,3
Ytterbium,Yb,173,3,3
Lutécium,Lu,175,3,3
Hafnium,Hf,178,4,4
Tantale,Ta,181,5,5
Tungstène,W,184,6,6
Rhénium,Re,186,7,5
Osmium,Os,190,8,4
Iridium,Ir,192,9,3
Platine,Pt,195,10,11,2
Or,Au,197,11,1
Mercure,Hg,201,12,0
Thallium,Tl,204,13,3
Plomb,Pb,207,14,4
Bismuth,Bi,209,15,3
Polonium,Po,210,16,2
Astate,At,210,17,1
Radon,Rn,222,18,0
Francium,Fr,223,1,1
Radium,Ra,226,2,2
Actinium,Ac,227,3,3
Thorium,Th,232,4,4
Protactinium,Pa,231,5,5
Uranium,U,238,6,6
Neptunium,Np,237,7,5
Plutonium,Pu,244,8,4
Américium,Am,243,9,3
Curium,Cm,247,10,2
Berkélium,Bk,247,11,1
Californium,Cf,251,12,0
Einsteinium,Es,252,13,3
Fermium,Fm,257,14,4
Mendelevium,Md,258,15,3
Nobelium No,259,16,2
Lawrencium,Lr,262,3,3
Rutherfordium,Rf,267,4,4
Dubnium,Db,268,5,5
Seaborgium,Sg,271,6,6
Bohrium,Bh,270,7,5
Hassium,Hs,277,8,4
Meitnerium,Mt,278,9,3
Darmstadtium,Ds,281,10,2
Roentgenium,Rg,282,11,1
Copernicium,Cn,285,12,0
Nihonium,Nh,286,13,3
Flerovium,Fl,289,14,4
Moscovium,Mc,288,15,3
Livermorium,Lv,293,16,2
Tennessine,Ts,294,17,1
Oganesson,Og,294,18,0